Commuter,Origen,Origen_LA,Destination,Destination_LA,Travel_time
2543,(house 938),Bury,(place 1232),Oldham,26
2374,(house 927),Bury,(place 1237),Trafford,26
1804,(house 555),Manchester,(place 1235),Salford,26
2063,(house 1187),Tameside,(place 1230),Tameside,26
2846,(house 367),Trafford,(place 1227),Bury,26
1715,(house 617),Manchester,(place 1231),Oldham,26
1265,(house 152),Salford,(place 1236),Salford,26
2829,(house 335),Trafford,(place 1238),Trafford,26
2472,(place 1232),Oldham,(place 1232),Oldham,2
3272,(house 717),Oldham,(place 1235),Salford,26
2336,(place 1227),Bury,(house 868),Bury,14
2089,(place 1230),Tameside,(house 1217),Tameside,11
2062,(place 1225),Manchester,(place 1225),Manchester,2
2057,(house 1099),Tameside,(place 1230),Tameside,8
1305,(house 210),Salford,(place 1226),Manchester,26
2283,(place 1229),Tameside,(house 1112),Tameside,14
2613,(place 1228),Bury,(place 1228),Bury,2
2171,(place 1225),Manchester,(house 1181),Tameside,14
1831,(house 660),Manchester,(place 1232),Oldham,26
1719,(place 1227),Bury,(place 1228),Bury,9
3078,(place 1234),Rochdale,(place 1232),Oldham,20
2520,(house 950),Bury,(place 1237),Trafford,26
2844,(house 279),Trafford,(place 1227),Bury,26
2209,(place 1229),Tameside,(place 1229),Tameside,2
2087,(house 1194),Tameside,(house 1194),Tameside,2
2096,(house 1197),Tameside,(place 1225),Manchester,9
1895,(place 1229),Tameside,(place 1225),Manchester,14
2368,(house 858),Bury,(place 1236),Salford,26
1667,(place 1230),Tameside,(place 1229),Tameside,8
2481,(place 1236),Salford,(place 1236),Salford,2
2408,(house 934),Bury,(place 1226),Manchester,26
1530,(house 169),Salford,(place 1226),Manchester,26
2221,(house 1202),Tameside,(place 1230),Tameside,9
1398,(place 1233),Rochdale,(place 1233),Rochdale,2
1789,(house 702),Manchester,(place 1231),Oldham,26
1342,(house 141),Salford,(place 1228),Bury,27
1333,(house 226),Salford,(place 1237),Trafford,27
1667,(place 1229),Tameside,(place 1229),Tameside,2
1331,(house 160),Salford,(place 1238),Trafford,27
2061,(house 1116),Tameside,(house 1116),Tameside,2
3247,(house 746),Oldham,(place 1237),Trafford,27
1690,(place 1225),Manchester,(place 1225),Manchester,2
2745,(house 307),Trafford,(place 1226),Manchester,27
2489,(place 1235),Salford,(place 1235),Salford,2
1267,(house 161),Salford,(place 1226),Manchester,27
2068,(place 1230),Tameside,(place 1230),Tameside,2
2308,(house 917),Bury,(place 1232),Oldham,27
1498,(house 241),Salford,(place 1232),Oldham,27
2173,(house 1145),Tameside,(place 1229),Tameside,10
2048,(house 1213),Tameside,(house 1213),Tameside,2
2616,(house 330),Trafford,(place 1227),Bury,27
1476,(house 136),Salford,(place 1228),Bury,27
2207,(house 1110),Tameside,(place 1229),Tameside,8
1977,(place 1230),Tameside,(place 1230),Tameside,2
2102,(house 1196),Tameside,(place 1229),Tameside,10
2209,(place 1229),Tameside,(place 1229),Tameside,2
2270,(place 1229),Tameside,(place 1229),Tameside,2
2348,(place 1227),Bury,(place 1235),Salford,23
1665,(house 511),Manchester,(place 1227),Bury,27
2101,(place 1230),Tameside,(house 1171),Tameside,11
2137,(house 1193),Tameside,(place 1225),Manchester,10
2301,(house 848),Bury,(place 1232),Oldham,27
3322,(house 794),Oldham,(place 1238),Trafford,27
3178,(house 741),Oldham,(place 1227),Bury,27
2132,(house 1204),Tameside,(place 1230),Tameside,9
1731,(place 1227),Bury,(place 1235),Salford,23
2782,(place 1237),Trafford,(place 1236),Salford,20
2633,(place 1237),Trafford,(place 1227),Bury,19
2244,(place 1225),Manchester,(place 1225),Manchester,2
1988,(place 1225),Manchester,(place 1225),Manchester,2
1338,(house 189),Salford,(place 1227),Bury,27
1821,(place 1236),Salford,(place 1236),Salford,2
3400,(house 842),Oldham,(place 1237),Trafford,27
2304,(house 917),Bury,(place 1232),Oldham,27
1492,(house 145),Salford,(place 1226),Manchester,27
2231,(place 1229),Tameside,(place 1230),Tameside,17
1444,(house 128),Salford,(place 1234),Rochdale,27
3202,(house 792),Oldham,(place 1237),Trafford,27
2050,(house 1117),Tameside,(place 1225),Manchester,10
2807,(house 306),Trafford,(place 1228),Bury,27
1954,(house 443),Manchester,(place 1226),Manchester,27
1251,(place 1227),Bury,(place 1235),Salford,23
1749,(house 400),Manchester,(place 1225),Manchester,10
3338,(place 1234),Rochdale,(place 1233),Rochdale,15
2977,(house 971),Rochdale,(place 1233),Rochdale,27
2614,(house 321),Trafford,(place 1232),Oldham,27
2252,(place 1225),Manchester,(place 1225),Manchester,2
1715,(place 1231),Oldham,(place 1231),Oldham,2
2747,(place 1227),Bury,(place 1227),Bury,2
1334,(house 204),Salford,(place 1236),Salford,27
2277,(house 1195),Tameside,(house 1195),Tameside,2
2757,(house 291),Trafford,(place 1236),Salford,27
3156,(house 749),Oldham,(place 1228),Bury,27
2338,(place 1232),Oldham,(place 1232),Oldham,2
1305,(place 1226),Manchester,(place 1226),Manchester,2
2028,(place 1225),Manchester,(place 1229),Tameside,14
3266,(house 766),Oldham,(place 1227),Bury,27
2128,(house 1196),Tameside,(house 1196),Tameside,2
3304,(place 1232),Oldham,(place 1232),Oldham,2
1413,(house 172),Salford,(place 1233),Rochdale,27
1439,(house 204),Salford,(place 1236),Salford,27
3148,(place 1230),Tameside,(house 812),Oldham,14
2057,(place 1230),Tameside,(place 1230),Tameside,2
3398,(place 1236),Salford,(place 1235),Salford,4
2273,(house 1222),Tameside,(place 1233),Rochdale,27
1708,(place 1230),Tameside,(place 1229),Tameside,8
3086,(house 1011),Rochdale,(place 1227),Bury,27
2423,(house 927),Bury,(place 1227),Bury,10
2013,(place 1230),Tameside,(house 1127),Tameside,13
2121,(house 1193),Tameside,(place 1229),Tameside,6
1774,(place 1235),Salford,(place 1236),Salford,5
2435,(house 889),Bury,(place 1228),Bury,10
1288,(house 151),Salford,(place 1238),Trafford,27
2025,(house 1098),Tameside,(place 1225),Manchester,8
1728,(house 389),Manchester,(place 1238),Trafford,27
3272,(place 1235),Salford,(place 1235),Salford,2
1675,(house 666),Manchester,(place 1225),Manchester,10
2834,(house 322),Trafford,(place 1231),Oldham,27
2245,(house 1128),Tameside,(house 1128),Tameside,2
1642,(place 1228),Bury,(place 1228),Bury,2
2153,(house 1196),Tameside,(house 1196),Tameside,2
2205,(house 1125),Tameside,(house 1125),Tameside,2
1753,(house 666),Manchester,(place 1230),Tameside,27
2009,(place 1225),Manchester,(house 620),Manchester,7
2778,(place 1228),Bury,(place 1228),Bury,2
1804,(place 1235),Salford,(place 1235),Salford,2
2669,(house 385),Trafford,(place 1226),Manchester,27
2350,(house 930),Bury,(place 1238),Trafford,27
2249,(house 1099),Tameside,(house 1099),Tameside,2
2680,(place 1227),Bury,(house 379),Trafford,14
2139,(house 1133),Tameside,(place 1231),Oldham,10
1629,(place 1228),Bury,(place 1237),Trafford,23
2807,(place 1228),Bury,(place 1228),Bury,2
1810,(place 1230),Tameside,(house 460),Manchester,15
2545,(house 919),Bury,(place 1231),Oldham,28
2013,(house 1127),Tameside,(house 1127),Tameside,2
1753,(place 1230),Tameside,(place 1230),Tameside,2
2057,(place 1230),Tameside,(place 1230),Tameside,2
1631,(place 1226),Manchester,(house 597),Manchester,15
2695,(place 1235),Salford,(place 1236),Salford,4
2093,(house 1159),Tameside,(place 1229),Tameside,10
2143,(place 1225),Manchester,(house 1170),Tameside,15
2061,(house 1116),Tameside,(house 1116),Tameside,2
1242,(house 107),Salford,(place 1232),Oldham,28
2254,(place 1230),Tameside,(place 1229),Tameside,10
1508,(place 1227),Bury,(place 1226),Manchester,25
3135,(place 1234),Rochdale,(house 732),Oldham,15
2092,(house 1154),Tameside,(place 1229),Tameside,10
2431,(house 925),Bury,(place 1228),Bury,28
1632,(house 428),Manchester,(place 1236),Salford,28
2615,(house 279),Trafford,(place 1228),Bury,28
2205,(house 1125),Tameside,(house 1125),Tameside,2
3227,(house 773),Oldham,(place 1228),Bury,28
2383,(house 858),Bury,(place 1231),Oldham,28
2561,(house 255),Trafford,(place 1236),Salford,28
2834,(place 1231),Oldham,(place 1231),Oldham,2
2131,(house 1145),Tameside,(place 1225),Manchester,6
2252,(place 1225),Manchester,(place 1225),Manchester,2
3169,(house 832),Oldham,(place 1227),Bury,28
3148,(house 812),Oldham,(house 812),Oldham,2
1770,(house 397),Manchester,(place 1235),Salford,28
2139,(place 1231),Oldham,(place 1231),Oldham,2
3190,(house 772),Oldham,(place 1238),Trafford,28
3330,(place 1229),Tameside,(house 775),Oldham,15
2885,(house 1005),Rochdale,(place 1228),Bury,28
1943,(house 579),Manchester,(place 1231),Oldham,28
1389,(house 155),Salford,(place 1227),Bury,28
2113,(place 1229),Tameside,(house 1113),Tameside,8
1609,(house 433),Manchester,(place 1225),Manchester,4
2908,(house 1021),Rochdale,(place 1232),Oldham,28
2707,(house 313),Trafford,(place 1232),Oldham,28
2693,(house 348),Trafford,(place 1226),Manchester,28
1965,(house 420),Manchester,(place 1231),Oldham,28
1581,(place 1228),Bury,(place 1237),Trafford,24
2691,(house 373),Trafford,(place 1237),Trafford,28
2397,(house 872),Bury,(place 1232),Oldham,28
2800,(house 368),Trafford,(place 1232),Oldham,28
2702,(house 251),Trafford,(place 1228),Bury,28
2741,(house 315),Trafford,(place 1232),Oldham,28
3136,(house 815),Oldham,(place 1227),Bury,28
1403,(house 227),Salford,(place 1226),Manchester,28
2234,(place 1230),Tameside,(house 1205),Tameside,15
2070,(house 1193),Tameside,(place 1225),Manchester,10
2150,(house 1188),Tameside,(place 1229),Tameside,10
1550,(place 1230),Tameside,(place 1229),Tameside,13
1886,(house 545),Manchester,(place 1231),Oldham,28
1988,(place 1225),Manchester,(place 1225),Manchester,2
2041,(house 1104),Tameside,(place 1225),Manchester,13
2614,(place 1232),Oldham,(place 1232),Oldham,2
1708,(place 1229),Tameside,(place 1229),Tameside,2
3400,(place 1237),Trafford,(place 1237),Trafford,2
2775,(house 305),Trafford,(place 1236),Salford,28
2274,(place 1229),Tameside,(house 1106),Tameside,6
2025,(place 1225),Manchester,(place 1225),Manchester,2
1642,(place 1228),Bury,(place 1228),Bury,2
1490,(place 1228),Bury,(place 1227),Bury,5
2861,(house 965),Rochdale,(place 1236),Salford,28
2142,(place 1229),Tameside,(house 1215),Tameside,6
1529,(house 129),Salford,(place 1238),Trafford,28
2204,(place 1230),Tameside,(house 1215),Tameside,8
1309,(house 155),Salford,(place 1227),Bury,28
1245,(house 220),Salford,(place 1236),Salford,28
3272,(place 1235),Salford,(place 1235),Salford,2
2681,(house 366),Trafford,(place 1231),Oldham,28
2033,(house 1099),Tameside,(place 1230),Tameside,8
2022,(house 1143),Tameside,(place 1237),Trafford,28
2121,(place 1229),Tameside,(place 1229),Tameside,2
2633,(place 1227),Bury,(place 1227),Bury,2
2273,(place 1233),Rochdale,(place 1233),Rochdale,2
1962,(house 420),Manchester,(place 1231),Oldham,28
2793,(place 1236),Salford,(house 372),Trafford,8
1424,(house 188),Salford,(place 1237),Trafford,28
1561,(house 705),Manchester,(place 1227),Bury,28
2245,(house 1128),Tameside,(house 1128),Tameside,2
2201,(place 1225),Manchester,(house 1125),Tameside,14
1821,(place 1236),Salford,(place 1236),Salford,2
2127,(house 1123),Tameside,(place 1225),Manchester,10
2367,(house 936),Bury,(place 1235),Salford,28
2277,(house 1195),Tameside,(house 1195),Tameside,2
1837,(place 1230),Tameside,(house 513),Manchester,15
2554,(house 906),Bury,(place 1236),Salford,28
2045,(place 1225),Manchester,(place 1230),Tameside,15
2218,(place 1229),Tameside,(house 1128),Tameside,8
2115,(house 1179),Tameside,(place 1230),Tameside,9
3155,(place 1232),Oldham,(place 1227),Bury,19
2082,(place 1230),Tameside,(house 1163),Tameside,15
1413,(place 1233),Rochdale,(place 1233),Rochdale,2
1809,(house 539),Manchester,(place 1229),Tameside,28
2770,(house 264),Trafford,(place 1231),Oldham,28
2351,(house 881),Bury,(place 1231),Oldham,28
2173,(place 1229),Tameside,(place 1229),Tameside,2
1796,(house 538),Manchester,(place 1236),Salford,28
2600,(house 367),Trafford,(place 1226),Manchester,28
3157,(place 1227),Bury,(place 1228),Bury,5
2178,(place 1225),Manchester,(place 1230),Tameside,15
2818,(house 305),Trafford,(place 1227),Bury,28
2158,(place 1225),Manchester,(house 1152),Tameside,15
2537,(place 1228),Bury,(place 1236),Salford,25
2100,(house 1097),Tameside,(place 1229),Tameside,9
2141,(place 1225),Manchester,(place 1230),Tameside,14
2578,(house 348),Trafford,(place 1227),Bury,28
2638,(place 1237),Trafford,(place 1235),Salford,20
1316,(house 141),Salford,(place 1238),Trafford,28
1338,(place 1227),Bury,(place 1227),Bury,2
2343,(place 1227),Bury,(place 1237),Trafford,21
2009,(house 620),Manchester,(house 620),Manchester,2
2641,(house 264),Trafford,(place 1231),Oldham,28
2037,(place 1229),Tameside,(place 1230),Tameside,10
2272,(place 1229),Tameside,(house 1136),Tameside,8
2490,(house 924),Bury,(place 1237),Trafford,28
3189,(place 1225),Manchester,(place 1229),Tameside,12
2342,(house 887),Bury,(place 1232),Oldham,28
2290,(house 1193),Tameside,(place 1225),Manchester,10
2065,(place 1225),Manchester,(house 1170),Tameside,15
1670,(place 1237),Trafford,(place 1236),Salford,20
1386,(place 1227),Bury,(place 1238),Trafford,25
1678,(house 590),Manchester,(place 1236),Salford,29
2861,(place 1236),Salford,(place 1236),Salford,2
2695,(place 1236),Salford,(place 1236),Salford,2
1565,(house 695),Manchester,(place 1225),Manchester,8
2515,(place 1227),Bury,(place 1237),Trafford,25
2436,(house 957),Bury,(place 1226),Manchester,29
1796,(place 1236),Salford,(place 1236),Salford,2
2061,(house 1116),Tameside,(house 1116),Tameside,2
2481,(place 1236),Salford,(place 1235),Salford,4
2093,(place 1229),Tameside,(place 1229),Tameside,2
1725,(place 1231),Oldham,(place 1234),Rochdale,14
1522,(house 135),Salford,(place 1238),Trafford,29
2113,(house 1113),Tameside,(house 1113),Tameside,2
2241,(place 1229),Tameside,(house 1215),Tameside,6
2139,(place 1231),Oldham,(place 1231),Oldham,2
2615,(place 1228),Bury,(place 1228),Bury,2
2838,(house 330),Trafford,(place 1228),Bury,29
2471,(house 850),Bury,(place 1235),Salford,29
1643,(house 391),Manchester,(house 391),Manchester,8
1862,(house 422),Manchester,(place 1225),Manchester,6
1273,(house 180),Salford,(place 1234),Rochdale,29
2278,(place 1230),Tameside,(house 1215),Tameside,8
1505,(place 1235),Salford,(place 1226),Manchester,26
3023,(place 1232),Oldham,(place 1234),Rochdale,22
2174,(place 1230),Tameside,(house 1118),Tameside,11
2346,(house 853),Bury,(place 1226),Manchester,29
2689,(house 281),Trafford,(place 1232),Oldham,29
2025,(place 1225),Manchester,(place 1225),Manchester,2
2218,(house 1128),Tameside,(house 1128),Tameside,2
1353,(house 224),Salford,(place 1231),Oldham,29
2537,(place 1236),Salford,(place 1236),Salford,2
2026,(place 1229),Tameside,(house 1130),Tameside,7
2047,(house 1136),Tameside,(place 1230),Tameside,10
2205,(house 1125),Tameside,(house 1125),Tameside,2
1825,(place 1225),Manchester,(house 539),Manchester,8
1372,(house 160),Salford,(place 1232),Oldham,29
2148,(house 1113),Tameside,(place 1230),Tameside,10
3375,(house 826),Oldham,(place 1228),Bury,29
1685,(house 697),Manchester,(place 1228),Bury,29
2352,(place 1227),Bury,(place 1235),Salford,24
2819,(house 252),Trafford,(place 1226),Manchester,29
2677,(house 249),Trafford,(place 1227),Bury,29
2030,(place 1230),Tameside,(house 1163),Tameside,15
2045,(place 1230),Tameside,(place 1230),Tameside,2
1753,(place 1230),Tameside,(place 1230),Tameside,2
2295,(house 1146),Tameside,(place 1230),Tameside,29
3189,(place 1229),Tameside,(place 1229),Tameside,2
2290,(place 1225),Manchester,(place 1225),Manchester,2
2176,(place 1229),Tameside,(house 1117),Tameside,8
1581,(place 1237),Trafford,(place 1237),Trafford,2
1539,(place 1238),Trafford,(place 1237),Trafford,11
2573,(house 331),Trafford,(place 1236),Salford,29
2037,(place 1230),Tameside,(place 1230),Tameside,2
2216,(house 1111),Tameside,(place 1230),Tameside,8
2556,(house 889),Bury,(place 1236),Salford,29
2143,(house 1170),Tameside,(house 1170),Tameside,2
3319,(house 734),Oldham,(place 1234),Rochdale,14
1723,(house 544),Manchester,(place 1232),Oldham,29
2307,(place 1227),Bury,(place 1226),Manchester,25
3330,(house 775),Oldham,(house 775),Oldham,2
1442,(house 223),Salford,(place 1233),Rochdale,29
1477,(house 239),Salford,(place 1238),Trafford,29
2551,(house 866),Bury,(place 1238),Trafford,29
2158,(house 1152),Tameside,(house 1152),Tameside,2
2730,(house 352),Trafford,(place 1231),Oldham,29
2232,(house 1126),Tameside,(place 1230),Tameside,29
2009,(house 620),Manchester,(house 620),Manchester,2
2204,(house 1215),Tameside,(house 1215),Tameside,2
1239,(house 227),Salford,(place 1232),Oldham,29
2655,(house 291),Trafford,(place 1228),Bury,29
1827,(house 513),Manchester,(place 1225),Manchester,6
1240,(house 197),Salford,(place 1232),Oldham,29
2142,(house 1215),Tameside,(house 1215),Tameside,2
1837,(house 513),Manchester,(house 513),Manchester,2
1741,(house 449),Manchester,(place 1233),Rochdale,29
2100,(place 1229),Tameside,(place 1229),Tameside,2
2080,(place 1230),Tameside,(house 1091),Tameside,8
2235,(house 1138),Tameside,(place 1225),Manchester,29
2742,(house 311),Trafford,(place 1231),Oldham,29
2013,(house 1127),Tameside,(house 1127),Tameside,2
2351,(place 1231),Oldham,(place 1231),Oldham,2
3333,(house 845),Oldham,(place 1228),Bury,29
1475,(house 143),Salford,(place 1228),Bury,29
1513,(house 110),Salford,(place 1238),Trafford,29
2284,(house 1199),Tameside,(place 1229),Tameside,9
2141,(place 1230),Tameside,(place 1230),Tameside,2
2070,(place 1225),Manchester,(place 1225),Manchester,2
2233,(house 1117),Tameside,(place 1225),Manchester,10
2668,(house 250),Trafford,(place 1227),Bury,29
1875,(place 1227),Bury,(place 1226),Manchester,26
2315,(place 1227),Bury,(house 856),Bury,11
2775,(place 1236),Salford,(place 1236),Salford,2
2022,(place 1237),Trafford,(place 1237),Trafford,2
2687,(house 326),Trafford,(place 1236),Salford,29
1910,(house 601),Manchester,(place 1238),Trafford,29
3272,(place 1235),Salford,(place 1235),Salford,2
2240,(place 1230),Tameside,(house 1164),Tameside,15
1413,(place 1233),Rochdale,(place 1233),Rochdale,2
2201,(house 1125),Tameside,(house 1125),Tameside,2
1316,(place 1238),Trafford,(place 1238),Trafford,2
2789,(house 253),Trafford,(place 1232),Oldham,29
3148,(house 812),Oldham,(house 812),Oldham,2
2597,(house 331),Trafford,(place 1226),Manchester,29
2057,(place 1230),Tameside,(place 1230),Tameside,2
1351,(house 189),Salford,(place 1226),Manchester,29
2876,(place 1231),Oldham,(house 1035),Rochdale,8
2277,(house 1195),Tameside,(house 1195),Tameside,2
1687,(house 441),Manchester,(place 1235),Salford,29
3187,(house 727),Oldham,(place 1237),Trafford,29
2131,(place 1225),Manchester,(place 1225),Manchester,2
2605,(house 255),Trafford,(place 1226),Manchester,29
1589,(place 1229),Tameside,(house 543),Manchester,14
2245,(house 1128),Tameside,(house 1128),Tameside,2
1525,(house 144),Salford,(place 1236),Salford,29
1638,(house 595),Manchester,(place 1233),Rochdale,29
1284,(house 138),Salford,(place 1226),Manchester,30
2448,(house 863),Bury,(place 1237),Trafford,30
1862,(place 1225),Manchester,(place 1225),Manchester,2
3023,(place 1234),Rochdale,(place 1234),Rochdale,2
1661,(house 492),Manchester,(place 1235),Salford,30
2586,(house 360),Trafford,(place 1226),Manchester,30
2142,(house 1215),Tameside,(house 1215),Tameside,2
2483,(house 889),Bury,(place 1238),Trafford,30
2789,(place 1232),Oldham,(place 1232),Oldham,2
2122,(house 1121),Tameside,(place 1236),Salford,30
1805,(house 597),Manchester,(place 1231),Oldham,30
3053,(house 973),Rochdale,(place 1233),Rochdale,30
2315,(house 856),Bury,(house 856),Bury,2
1945,(house 638),Manchester,(place 1230),Tameside,30
3069,(place 1232),Oldham,(place 1227),Bury,18
2876,(house 1035),Rochdale,(house 1035),Rochdale,2
2174,(house 1118),Tameside,(house 1118),Tameside,2
1917,(house 468),Manchester,(place 1236),Salford,21
3237,(place 1232),Oldham,(place 1231),Oldham,12
1369,(house 188),Salford,(place 1236),Salford,30
2786,(house 371),Trafford,(place 1226),Manchester,30
2384,(house 947),Bury,(place 1235),Salford,30
1916,(house 459),Manchester,(place 1238),Trafford,30
3378,(place 1231),Oldham,(house 722),Oldham,16
2456,(house 918),Bury,(place 1226),Manchester,30
2013,(house 1127),Tameside,(house 1127),Tameside,2
3128,(house 835),Oldham,(place 1227),Bury,30
3398,(place 1235),Salford,(place 1236),Salford,4
1407,(house 235),Salford,(place 1226),Manchester,30
2481,(place 1235),Salford,(place 1235),Salford,2
2399,(house 875),Bury,(place 1226),Manchester,30
2240,(house 1164),Tameside,(house 1164),Tameside,2
2597,(place 1226),Manchester,(place 1226),Manchester,2
1838,(house 697),Manchester,(place 1238),Trafford,30
1785,(place 1225),Manchester,(house 605),Manchester,5
2077,(house 1144),Tameside,(place 1225),Manchester,11
2290,(place 1225),Manchester,(place 1225),Manchester,2
1533,(place 1237),Trafford,(house 224),Salford,16
1689,(house 597),Manchester,(place 1231),Oldham,30
2025,(place 1225),Manchester,(place 1225),Manchester,2
1499,(place 1235),Salford,(place 1226),Manchester,26
1783,(house 608),Manchester,(place 1228),Bury,30
2085,(place 1229),Tameside,(house 1110),Tameside,8
2933,(house 981),Rochdale,(place 1227),Bury,30
2078,(place 1225),Manchester,(house 1201),Tameside,16
3339,(house 844),Oldham,(place 1231),Oldham,10
2351,(place 1231),Oldham,(place 1231),Oldham,2
1707,(house 543),Manchester,(place 1225),Manchester,6
1410,(house 235),Salford,(place 1226),Manchester,30
2553,(house 906),Bury,(place 1231),Oldham,30
1834,(place 1225),Manchester,(house 670),Manchester,15
2148,(place 1230),Tameside,(place 1230),Tameside,2
2177,(house 1121),Tameside,(place 1235),Salford,30
2510,(house 918),Bury,(place 1226),Manchester,30
2737,(house 384),Trafford,(place 1231),Oldham,30
2703,(place 1237),Trafford,(house 385),Trafford,10
2555,(place 1228),Bury,(house 923),Bury,15
2260,(house 1135),Tameside,(place 1225),Manchester,11
3379,(house 832),Oldham,(place 1228),Bury,30
2961,(place 1233),Rochdale,(place 1234),Rochdale,16
2030,(house 1163),Tameside,(house 1163),Tameside,2
2190,(place 1229),Tameside,(house 1184),Tameside,8
2193,(place 1229),Tameside,(house 1198),Tameside,14
1565,(place 1225),Manchester,(place 1225),Manchester,2
2529,(house 884),Bury,(place 1231),Oldham,30
2605,(place 1226),Manchester,(place 1226),Manchester,2
1692,(house 669),Manchester,(place 1234),Rochdale,30
1971,(house 620),Manchester,(place 1229),Tameside,17
2057,(place 1230),Tameside,(place 1230),Tameside,2
2185,(house 1126),Tameside,(place 1225),Manchester,30
2201,(house 1125),Tameside,(house 1125),Tameside,2
1447,(house 124),Salford,(place 1238),Trafford,30
1677,(house 673),Manchester,(place 1231),Oldham,30
2241,(house 1215),Tameside,(house 1215),Tameside,2
1386,(place 1238),Trafford,(place 1238),Trafford,2
2775,(place 1236),Salford,(place 1236),Salford,2
1556,(place 1227),Bury,(place 1228),Bury,6
2235,(place 1225),Manchester,(place 1225),Manchester,2
2080,(house 1091),Tameside,(house 1091),Tameside,2
2134,(place 1230),Tameside,(house 1216),Tameside,14
2093,(place 1229),Tameside,(place 1229),Tameside,2
2628,(house 267),Trafford,(place 1238),Trafford,30
2284,(place 1229),Tameside,(place 1229),Tameside,2
1825,(house 539),Manchester,(house 539),Manchester,2
2900,(house 999),Rochdale,(place 1236),Salford,30
1442,(place 1233),Rochdale,(place 1233),Rochdale,2
2278,(house 1215),Tameside,(house 1215),Tameside,2
2038,(place 1225),Manchester,(place 1230),Tameside,17
3182,(place 1232),Oldham,(place 1234),Rochdale,21
1980,(house 505),Manchester,(place 1236),Salford,30
1537,(place 1229),Tameside,(house 450),Manchester,13
2110,(house 1135),Tameside,(place 1225),Manchester,11
3020,(house 1085),Rochdale,(place 1227),Bury,30
2037,(place 1230),Tameside,(place 1230),Tameside,2
1564,(house 492),Manchester,(place 1237),Trafford,30
3256,(house 769),Oldham,(place 1237),Trafford,30
1246,(house 247),Salford,(place 1226),Manchester,30
2124,(place 1230),Tameside,(house 1142),Tameside,15
1351,(place 1226),Manchester,(place 1226),Manchester,2
2166,(house 1123),Tameside,(place 1229),Tameside,10
2284,(place 1229),Tameside,(place 1229),Tameside,2
2188,(house 1117),Tameside,(place 1230),Tameside,11
3055,(house 964),Rochdale,(place 1235),Salford,31
1785,(house 605),Manchester,(house 605),Manchester,2
1447,(place 1238),Trafford,(place 1238),Trafford,2
1774,(place 1236),Salford,(place 1235),Salford,5
2110,(place 1225),Manchester,(place 1225),Manchester,2
1825,(house 539),Manchester,(house 539),Manchester,2
2719,(house 275),Trafford,(place 1226),Manchester,31
2485,(house 862),Bury,(place 1236),Salford,31
3037,(place 1231),Oldham,(place 1233),Rochdale,12
2078,(house 1201),Tameside,(house 1201),Tameside,2
3301,(place 1228),Bury,(place 1227),Bury,6
2044,(house 1184),Tameside,(place 1230),Tameside,10
1609,(place 1225),Manchester,(house 433),Manchester,4
2522,(place 1227),Bury,(place 1226),Manchester,25
2267,(place 1229),Tameside,(house 1104),Tameside,7
2217,(place 1230),Tameside,(house 1153),Tameside,15
1887,(place 1230),Tameside,(house 502),Manchester,15
1751,(place 1225),Manchester,(place 1230),Tameside,22
3204,(house 803),Oldham,(place 1237),Trafford,31
2193,(house 1198),Tameside,(house 1198),Tameside,2
2085,(house 1110),Tameside,(house 1110),Tameside,2
2122,(place 1236),Salford,(place 1236),Salford,2
2077,(place 1225),Manchester,(place 1225),Manchester,2
3185,(house 770),Oldham,(place 1236),Salford,31
2789,(place 1232),Oldham,(place 1232),Oldham,2
1432,(house 243),Salford,(place 1231),Oldham,31
2713,(house 359),Trafford,(place 1226),Manchester,31
3339,(place 1231),Oldham,(place 1231),Oldham,2
2235,(place 1225),Manchester,(place 1225),Manchester,2
1673,(house 487),Manchester,(place 1227),Bury,31
2029,(house 1211),Tameside,(place 1238),Trafford,31
1815,(house 633),Manchester,(place 1229),Tameside,11
2950,(place 1233),Rochdale,(house 1029),Rochdale,8
2236,(house 1135),Tameside,(place 1225),Manchester,11
2053,(house 1106),Tameside,(place 1225),Manchester,11
2280,(house 1143),Tameside,(place 1235),Salford,31
2251,(house 1121),Tameside,(place 1238),Trafford,31
2256,(house 1199),Tameside,(place 1230),Tameside,10
1480,(place 1236),Salford,(place 1228),Bury,24
2241,(house 1215),Tameside,(house 1215),Tameside,2
2882,(house 1005),Rochdale,(place 1237),Trafford,31
1917,(place 1236),Salford,(place 1236),Salford,2
2870,(place 1234),Rochdale,(house 1006),Rochdale,8
2184,(place 1225),Manchester,(house 1097),Tameside,14
2399,(place 1226),Manchester,(place 1226),Manchester,2
2480,(house 943),Bury,(place 1226),Manchester,31
2610,(house 358),Trafford,(place 1235),Salford,31
1613,(house 708),Manchester,(place 1235),Salford,31
2503,(house 943),Bury,(place 1238),Trafford,31
1987,(place 1230),Tameside,(place 1229),Tameside,13
1952,(house 511),Manchester,(place 1238),Trafford,31
1679,(house 563),Manchester,(place 1236),Salford,31
1489,(place 1235),Salford,(place 1228),Bury,26
3352,(place 1231),Oldham,(place 1233),Rochdale,12
2406,(house 910),Bury,(place 1238),Trafford,31
2456,(place 1226),Manchester,(place 1226),Manchester,2
2177,(place 1235),Salford,(place 1235),Salford,2
2201,(house 1125),Tameside,(house 1125),Tameside,2
2013,(house 1127),Tameside,(house 1127),Tameside,2
2222,(place 1230),Tameside,(house 1091),Tameside,8
1843,(place 1231),Oldham,(place 1233),Rochdale,11
